Rank,Domain,Organic Keywords,Organic Traffic,Organic Cost,Adwords Keywords,Adwords Traffic,Adwords Cost
137,theathletic.com,3027738,22392749,18725947.00,56,13177,143041.00
138,giphy.com,1918507,22192507,2487190.00,0,0,0.00
139,businessinsider.com,12371560,21980115,26886654.00,60,403,957.00
140,cars.com,3312661,21906234,29408501.00,3480,405382,545638.00
141,ny.gov,5554380,21831724,21743084.00,13,1027,390.00
142,goodhousekeeping.com,6395086,21811248,15696292.00,2847,330819,152241.00
143,samsung.com,2120308,21558402,26356390.00,17251,975089,1594181.00
144,starbucks.com,824596,21506921,25613636.00,4581,1015543,812630.00
145,youporn.com,1331326,21370837,8707699.00,0,0,0.00
146,disney.go.com,1413981,21034431,134755323.00,19260,2076526,24069607.00
147,ign.com,5611529,20976427,7710066.00,0,0,0.00
148,ford.com,907629,20898373,35561445.00,3361,194785,484615.00
149,accuweather.com,2095892,20559858,5253829.00,73,4781,3494.00
150,goodreads.com,7066285,20456371,11509707.00,0,0,0.00
151,ncaa.com,1291153,20325767,13909856.00,0,0,0.00
152,amctheatres.com,902422,20170015,6214772.00,0,0,0.00
153,akc.org,1291727,19960088,10719203.00,230,26211,11860.00
154,ssa.gov,1754659,19593081,16187719.00,2805,722903,429580.00
155,istockphoto.com,5189743,19404412,8366282.00,628,33054,82336.00
156,coolmathgames.com,203769,19353189,16455769.00,0,0,0.00
157,si.com,5054151,19310004,20199854.00,0,0,0.00
158,shutterstock.com,8123048,19265036,9332619.00,3587,178182,261518.00
159,roblox.com,618241,19181671,8238617.00,7,1149,219.00
160,carfax.com,2686600,19155762,21466363.00,864,102982,91175.00
161,weather.gov,2021360,19155177,9242322.00,0,0,0.00
162,state.gov,2055880,19075259,22521124.00,0,0,0.00
163,collider.com,3790777,19004330,10488988.00,0,0,0.00
164,aa.com,1082284,18963337,32808191.00,675,15977,33511.00
165,goodrx.com,4353594,18767300,27539409.00,10105,674881,1190096.00
166,fandango.com,1448751,18722700,9714751.00,3163,555390,302447.00
167,opentable.com,3519523,18697183,17409783.00,481,17694,18568.00
168,kayak.com,4142799,18650227,24792256.00,7090,791210,928626.00
169,rule34.xxx,410017,18586945,6108372.00,0,0,0.00
170,parade.com,4100338,18527606,8857753.00,0,0,0.00
171,harvard.edu,6165616,18389249,17796126.00,1898,23706,46190.00
172,thespruce.com,4084198,18194638,21282341.00,2949,162005,183078.00
173,tvtropes.org,5510402,18102332,7560075.00,0,0,0.00
174,chaturbate.com,232714,18093984,20795731.00,0,0,0.00
175,disneyplus.com,489564,18041330,21723782.00,8928,773583,1164547.00
176,nerdwallet.com,3851670,17914100,89658308.00,44539,1483678,10399181.00
177,sportskeeda.com,6410364,17884337,4035073.00,0,0,0.00
178,drugs.com,2786568,17880276,25036052.00,0,0,0.00
179,msn.com,6110449,17864076,41359526.00,26,265,778.00
180,pro-football-reference.com,744890,17815825,9632444.00,0,0,0.00
181,bedbathandbeyond.com,3174574,17716289,10043968.00,1,1,0.00
182,airbnb.com,3542386,17667220,14224762.00,20623,1526726,1076282.00
183,study.com,5701417,17657326,6230404.00,2026,38763,43542.00
184,sciencedirect.com,8849909,17627023,17151026.00,0,0,0.00
185,washingtonpost.com,12848152,17607869,12988613.00,449,101773,172918.00
186,capitalone.com,2141117,17367398,54402474.00,27124,1669344,6634826.00
187,noaa.gov,1866585,17349158,17245247.00,0,0,0.00
188,hbomax.com,787251,17187494,16737675.00,1128,683736,693158.00
189,booking.com,4895824,17161994,24752436.00,138031,8722393,13802285.00
190,nbcnews.com,6489953,17156382,12072547.00,98,37115,114403.00
191,xbox.com,1261778,17091845,8588529.00,301,66988,27138.00
192,wsj.com,4871324,16966916,27759306.00,987,109965,686716.00
193,caranddriver.com,2443290,16951319,25074963.00,811,39060,88604.00
194,nintendo.com,851708,16948270,9958428.00,321,65789,86818.00
195,ticketmaster.com,2020317,16893903,10856387.00,24011,2154433,1768821.00
196,cnet.com,9826069,16857962,26920829.00,11,72,164.00
197,carmax.com,1586145,16853938,23597182.00,6504,676684,1048735.00
198,southwest.com,883171,16788141,11556255.00,13407,2060582,1598368.00
199,gap.com,768947,16658895,8686932.00,8292,877864,519718.00
200,intuit.com,1864148,16638986,51681765.00,49457,3000990,9184683.00
201,playstation.com,1093467,16407640,8548535.00,378,310178,231052.00
202,basketball-reference.com,528482,16315885,9596616.00,0,0,0.00
203,texas.gov,5309291,16180992,24249349.00,120,4934,8168.00
204,gamerant.com,4246109,16109040,6487129.00,0,0,0.00
205,macmillandictionary.com,1309314,16091865,10004360.00,0,0,0.00
206,tasteofhome.com,3289297,15968789,7535470.00,11,139,1383.00
207,biblegateway.com,945497,15926145,12870181.00,4,31,3.00
208,unsplash.com,1444609,15905318,11430980.00,0,0,0.00
209,cosmopolitan.com,5099340,15859024,8111155.00,250,21863,9068.00
210,insider.com,8677772,15829804,8916223.00,6,59,214.00
211,tvinsider.com,2110351,15818252,9943981.00,0,0,0.00
212,cbsnews.com,10142654,15756538,9323527.00,0,0,0.00
213,edmunds.com,2892163,15652636,18497156.00,441,45198,37905.00
214,byjus.com,2197402,15621750,5333875.00,0,0,0.00
215,azlyrics.com,1701793,15607975,855079.00,0,0,0.00
216,word.tips,251508,15434715,10648170.00,0,0,0.00
217,verywellhealth.com,5422788,15401276,13916254.00,102,13154,13360.00
218,thespruceeats.com,2532022,15342846,9301203.00,657,46546,34559.00
219,groupon.com,8235100,15278814,37804393.00,4887,324262,1410483.00
220,tmz.com,2301428,15267870,4322672.00,0,0,0.00
221,the-sun.com,4471023,15148384,3152851.00,0,0,0.00
222,shein.com,515487,15145181,29725363.00,29462,4356523,7823568.00
223,delish.com,2259723,15110053,7083414.00,755,114922,36313.00
224,spanishdict.com,1088881,15013799,8857649.00,0,0,0.00
225,cancer.gov,1754501,14911741,22835932.00,0,0,0.00
226,almanac.com,1581538,14833345,8979134.00,4,388,103.00
227,yourdictionary.com,2621659,14764030,6497055.00,2,5,0.00
228,redtube.com,1085653,14728427,5775911.00,0,0,0.00
229,tenor.com,3117294,14651787,2189218.00,0,0,0.00
230,khanacademy.org,2260934,14628495,11265953.00,1149,45032,52499.00
231,powerball.com,123287,14475600,6763462.00,0,0,0.00
232,bankrate.com,2830422,14449735,55832790.00,5162,197351,1490975.00
233,twitch.tv,1284570,14395048,6725865.00,1,0,1.00
234,paypal.com,509401,14335615,30556764.00,3108,524762,1501112.00
235,baseball-reference.com,812872,14230775,5400372.00,0,0,0.00
236,tomsguide.com,3600466,14223480,18889462.00,9,21,84.00
237,nasa.gov,1866538,14040096,11009317.00,4,10,7.00
238,usda.gov,4203125,14039229,13025581.00,3,1155,1763.00
239,chick-fil-a.com,491980,13993357,11083144.00,4474,524133,144800.00
240,rogerebert.com,1508644,13975681,10590203.00,0,0,0.00
241,delta.com,929717,13963765,13529635.00,3332,108403,141462.00
242,autozone.com,1595358,13923904,6080097.00,919,358327,89704.00
243,mountsinai.org,2941646,13856561,13565562.00,574,6969,15086.00
244,trulia.com,4862411,13851719,6828773.00,0,0,0.00
245,stockx.com,1335342,13775657,7067979.00,94,125912,40266.00
246,canva.com,1395564,13589883,19405396.00,1385,629597,792881.00
247,chevrolet.com,590990,13554151,21828591.00,8374,408635,888449.00
248,nasdaq.com,1863653,13439003,19425654.00,481,8986,42245.00
249,bloomberg.com,6607921,13410259,31638489.00,2259,128913,1057182.00
250,nationalgeographic.com,2062923,13399552,16089656.00,860,58563,114488.00
251,jcpenney.com,2135387,13342868,12741478.00,12056,614112,577017.00
252,nyc.gov,2895165,13332553,14489620.00,12,409,329.00
253,lego.com,645550,13307785,13111282.00,10433,473458,916224.00
254,celebjihad.com,189353,13269074,22948.00,0,0,0.00
255,united.com,974899,13221138,16005367.00,950,418303,485425.00
256,today.com,5718357,13174108,5933132.00,68,6654,4003.00
257,tacobell.com,573928,13136895,12171034.00,1334,269336,72300.00
258,studentaid.gov,501492,13129022,42347890.00,0,0,0.00
259,github.com,6355390,13124168,15035527.00,516,52247,77293.00
260,soundcloud.com,7019936,13122258,9434653.00,361,22307,71293.00
261,apnews.com,4952177,13106519,9803666.00,1,47,115.00
262,kroger.com,3880903,13074288,23343644.00,837,235076,494758.00
